,State,County,Female (18-19),Female (20),Female (21),Female (22-24),Female (25-29),Female (30-34),Female (35-39),Female (40-44),Female (45-49),Female (50-54),Female (55-59),Female (60-61),Female (62-64),Female (65-66),Female (67-69),Female (70-74),Female (75-79),Female (80-84),Female (85 and over),Male (18-19),Male (20),Male (21),Male (22-24),Male (25-29),Male (30-34),Male (35-39),Male (40-44),Male (45-49),Male (50-54),Male (55-59),Male (60-61),Male (62-64),Male (65-66),Male (67-69),Male (70-74),Male (75-79),Male (80-84),Male (85 and over),Pop (18-19)
803,Indiana,Lake County,5928.0,2901.0,3333.0,9606.0,14816.0,16220.0,15704.0,15874.0,16229.0,18184.0,18393.0,6492.0,9240.0,5602.0,7024.0,9214.0,7084.0,5542.0,6595.0,6308.0,3347.0,3091.0,9748.0,14310.0,15137.0,15173.0,14480.0,15230.0,16838.0,17230.0,6102.0,8309.0,4655.0,5982.0,7513.0,5052.0,3783.0,3426.0,12236.0
804,Indiana,LaPorte County,1088.0,709.0,558.0,1780.0,3016.0,3110.0,2904.0,3411.0,3559.0,3912.0,3896.0,1586.0,2201.0,1491.0,1843.0,2020.0,1808.0,1263.0,1313.0,1341.0,760.0,725.0,2501.0,4105.0,4220.0,4179.0,3463.0,4007.0,4148.0,4261.0,1491.0,2146.0,1309.0,1801.0,1714.0,1220.0,880.0,778.0,2429.0
805,Indiana,Lawrence County,491.0,161.0,134.0,881.0,1213.0,1293.0,1494.0,1361.0,1564.0,1751.0,1668.0,615.0,1005.0,545.0,899.0,1020.0,785.0,768.0,541.0,549.0,215.0,204.0,863.0,1252.0,1258.0,1158.0,1619.0,1556.0,1691.0,1704.0,579.0,948.0,474.0,680.0,1131.0,681.0,351.0,355.0,1040.0
806,Indiana,Madison County,1476.0,823.0,729.0,2515.0,3869.0,3880.0,4079.0,3764.0,4201.0,4607.0,4617.0,1904.0,2212.0,1796.0,2151.0,2697.0,2268.0,1720.0,1761.0,1695.0,834.0,822.0,2500.0,4184.0,4298.0,4449.0,4223.0,4521.0,4664.0,4275.0,1570.0,2422.0,1358.0,1898.0,2567.0,1635.0,1201.0,914.0,3171.0
807,Indiana,Marion County,11335.0,6637.0,7091.0,22068.0,42178.0,37265.0,31326.0,29752.0,29509.0,32514.0,32002.0,10965.0,14750.0,8735.0,10556.0,13763.0,10462.0,8647.0,9681.0,11278.0,6204.0,5900.0,21205.0,38807.0,35504.0,30521.0,28069.0,28099.0,30031.0,28021.0,9742.0,13610.0,7458.0,8916.0,10246.0,7240.0,5091.0,4599.0,22613.0
808,Indiana,Marshall County,570.0,241.0,298.0,767.0,1202.0,1251.0,1125.0,1618.0,1503.0,1736.0,1536.0,707.0,863.0,513.0,691.0,943.0,679.0,636.0,838.0,606.0,306.0,233.0,972.0,1246.0,1376.0,1328.0,1423.0,1618.0,1662.0,1613.0,654.0,823.0,405.0,806.0,768.0,577.0,359.0,395.0,1176.0
809,Indiana,Martin County,106.0,56.0,29.0,188.0,267.0,271.0,289.0,310.0,339.0,411.0,439.0,104.0,226.0,107.0,191.0,237.0,190.0,99.0,131.0,122.0,41.0,67.0,161.0,261.0,293.0,227.0,401.0,342.0,423.0,479.0,158.0,146.0,102.0,147.0,226.0,156.0,90.0,67.0,228.0
810,Indiana,Miami County,428.0,249.0,187.0,607.0,890.0,945.0,990.0,1043.0,1092.0,1195.0,1313.0,361.0,631.0,511.0,404.0,841.0,467.0,423.0,478.0,458.0,179.0,276.0,1055.0,1404.0,1341.0,1227.0,1384.0,1347.0,1425.0,1430.0,470.0,540.0,494.0,496.0,620.0,462.0,325.0,201.0,886.0
811,Indiana,Monroe County,6124.0,3490.0,3899.0,6245.0,5524.0,4336.0,3633.0,3449.0,3528.0,3929.0,4172.0,1570.0,1798.0,1432.0,1418.0,2040.0,1559.0,1328.0,1363.0,5768.0,3526.0,3421.0,7245.0,6391.0,4744.0,4065.0,3368.0,3476.0,3520.0,3668.0,1503.0,1875.0,1334.0,1193.0,1772.0,1032.0,1033.0,653.0,11892.0
812,Indiana,Montgomery County,365.0,226.0,159.0,725.0,959.0,1054.0,1153.0,1037.0,1312.0,1414.0,1456.0,342.0,714.0,435.0,610.0,864.0,600.0,545.0,549.0,709.0,420.0,381.0,740.0,1128.0,1095.0,956.0,1302.0,1284.0,1385.0,1409.0,530.0,615.0,416.0,524.0,695.0,569.0,360.0,252.0,1074.0
813,Indiana,Morgan County,717.0,431.0,305.0,1291.0,1887.0,2081.0,1921.0,2367.0,2628.0,2878.0,2680.0,941.0,1367.0,901.0,965.0,1401.0,1023.0,660.0,666.0,846.0,408.0,362.0,1324.0,1810.0,1845.0,2023.0,2207.0,2618.0,2783.0,2555.0,1197.0,1171.0,852.0,890.0,1389.0,829.0,503.0,347.0,1563.0
814,Indiana,Newton County,167.0,72.0,82.0,245.0,363.0,385.0,329.0,452.0,427.0,533.0,554.0,258.0,238.0,212.0,256.0,287.0,252.0,157.0,186.0,131.0,73.0,76.0,246.0,437.0,413.0,304.0,591.0,452.0,558.0,650.0,184.0,247.0,114.0,297.0,286.0,232.0,86.0,95.0,298.0
815,Indiana,Noble County,530.0,219.0,323.0,832.0,1326.0,1390.0,1461.0,1543.0,1515.0,1693.0,1626.0,489.0,1060.0,544.0,504.0,1057.0,550.0,521.0,629.0,602.0,392.0,359.0,742.0,1413.0,1397.0,1705.0,1339.0,1619.0,1768.0,1575.0,641.0,953.0,549.0,694.0,720.0,569.0,263.0,260.0,1132.0
816,Indiana,Ohio County,86.0,51.0,0.0,52.0,157.0,145.0,149.0,192.0,185.0,266.0,247.0,109.0,106.0,96.0,141.0,142.0,131.0,58.0,69.0,65.0,18.0,0.0,118.0,157.0,186.0,183.0,160.0,217.0,281.0,294.0,110.0,76.0,120.0,93.0,114.0,104.0,60.0,36.0,151.0
817,Indiana,Orange County,209.0,78.0,56.0,406.0,503.0,532.0,644.0,501.0,640.0,747.0,840.0,194.0,342.0,241.0,407.0,428.0,341.0,241.0,232.0,240.0,66.0,112.0,367.0,583.0,527.0,523.0,606.0,652.0,724.0,907.0,180.0,306.0,196.0,340.0,397.0,336.0,130.0,114.0,449.0
818,Indiana,Owen County,214.0,89.0,178.0,283.0,535.0,508.0,633.0,559.0,767.0,895.0,794.0,395.0,458.0,258.0,470.0,402.0,376.0,213.0,174.0,266.0,103.0,49.0,399.0,579.0,564.0,585.0,619.0,739.0,1000.0,935.0,216.0,509.0,309.0,311.0,560.0,255.0,154.0,158.0,480.0
819,Indiana,Parke County,154.0,86.0,88.0,395.0,663.0,632.0,535.0,600.0,611.0,694.0,620.0,234.0,363.0,210.0,242.0,419.0,295.0,155.0,189.0,176.0,133.0,69.0,275.0,458.0,417.0,438.0,504.0,519.0,603.0,713.0,200.0,305.0,178.0,345.0,352.0,283.0,171.0,76.0,330.0
820,Indiana,Perry County,156.0,98.0,91.0,268.0,476.0,500.0,500.0,544.0,578.0,685.0,675.0,259.0,387.0,187.0,359.0,359.0,225.0,274.0,367.0,195.0,127.0,190.0,524.0,755.0,775.0,694.0,712.0,672.0,754.0,735.0,259.0,403.0,229.0,335.0,317.0,188.0,179.0,211.0,351.0
821,Indiana,Pike County,113.0,73.0,41.0,194.0,290.0,317.0,349.0,402.0,410.0,483.0,540.0,165.0,192.0,223.0,119.0,322.0,267.0,118.0,210.0,136.0,65.0,90.0,181.0,337.0,351.0,311.0,439.0,436.0,489.0,529.0,213.0,206.0,147.0,194.0,320.0,230.0,142.0,59.0,249.0
822,Indiana,Porter County,2164.0,1110.0,1123.0,3205.0,4852.0,5298.0,5232.0,5692.0,5675.0,6310.0,6393.0,2371.0,3244.0,2051.0,2240.0,3061.0,2341.0,1676.0,1915.0,2289.0,1195.0,1295.0,3241.0,4994.0,5229.0,5445.0,5398.0,5454.0,5885.0,6017.0,2383.0,3155.0,2115.0,2041.0,2797.0,1592.0,1340.0,867.0,4453.0
823,Indiana,Posey County,248.0,123.0,143.0,441.0,684.0,666.0,574.0,962.0,871.0,1004.0,1094.0,261.0,610.0,310.0,388.0,510.0,489.0,266.0,272.0,299.0,151.0,179.0,476.0,707.0,728.0,677.0,764.0,808.0,1059.0,1059.0,426.0,544.0,341.0,367.0,469.0,455.0,172.0,146.0,547.0
824,Indiana,Pulaski County,122.0,78.0,52.0,205.0,341.0,333.0,419.0,293.0,440.0,491.0,438.0,221.0,260.0,156.0,238.0,270.0,199.0,179.0,205.0,162.0,73.0,43.0,247.0,331.0,347.0,493.0,328.0,399.0,494.0,531.0,225.0,213.0,177.0,157.0,319.0,232.0,165.0,38.0,284.0
825,Indiana,Putnam County,907.0,302.0,823.0,628.0,880.0,885.0,979.0,997.0,1136.0,1292.0,1250.0,565.0,548.0,438.0,552.0,687.0,814.0,302.0,359.0,863.0,450.0,667.0,872.0,1379.0,1283.0,1441.0,1084.0,1413.0,1592.0,1457.0,409.0,602.0,429.0,462.0,564.0,586.0,220.0,258.0,1770.0
826,Indiana,Randolph County,264.0,87.0,139.0,434.0,657.0,683.0,717.0,785.0,848.0,938.0,859.0,482.0,404.0,352.0,335.0,684.0,482.0,292.0,521.0,294.0,124.0,124.0,471.0,683.0,631.0,804.0,728.0,798.0,963.0,957.0,476.0,283.0,246.0,436.0,518.0,474.0,227.0,166.0,558.0
827,Indiana,Ripley County,309.0,174.0,162.0,451.0,743.0,805.0,773.0,963.0,958.0,1098.0,1230.0,302.0,412.0,378.0,457.0,615.0,533.0,415.0,303.0,354.0,126.0,100.0,652.0,770.0,839.0,861.0,819.0,1013.0,1079.0,928.0,446.0,498.0,282.0,373.0,651.0,424.0,216.0,253.0,663.0
828,Indiana,Rush County,190.0,76.0,158.0,241.0,446.0,447.0,523.0,459.0,567.0,655.0,657.0,268.0,258.0,201.0,269.0,397.0,338.0,224.0,237.0,219.0,167.0,108.0,210.0,486.0,439.0,574.0,455.0,597.0,661.0,655.0,207.0,313.0,208.0,214.0,327.0,217.0,147.0,159.0,409.0
829,Indiana,St. Joseph County,4843.0,2676.0,2506.0,5484.0,8966.0,8465.0,7947.0,8224.0,8424.0,9075.0,9114.0,3748.0,4814.0,2641.0,3602.0,4744.0,3467.0,3392.0,4133.0,4282.0,2357.0,2171.0,5526.0,8792.0,8447.0,7701.0,7887.0,7995.0,8700.0,8380.0,3336.0,5020.0,2860.0,3028.0,3756.0,2703.0,2215.0,1829.0,9125.0
830,Indiana,Scott County,245.0,182.0,80.0,410.0,687.0,710.0,786.0,782.0,822.0,918.0,892.0,343.0,432.0,370.0,550.0,318.0,396.0,165.0,282.0,276.0,52.0,298.0,441.0,693.0,662.0,627.0,860.0,874.0,901.0,798.0,261.0,492.0,193.0,420.0,468.0,288.0,164.0,161.0,521.0
831,Indiana,Shelby County,456.0,263.0,210.0,797.0,1276.0,1389.0,1075.0,1574.0,1671.0,1768.0,1662.0,483.0,956.0,498.0,598.0,909.0,797.0,435.0,627.0,494.0,178.0,216.0,879.0,1356.0,1262.0,1181.0,1609.0,1456.0,1866.0,1720.0,445.0,930.0,459.0,632.0,766.0,585.0,317.0,268.0,950.0
832,Indiana,Spencer County,276.0,117.0,115.0,252.0,511.0,518.0,589.0,638.0,677.0,847.0,804.0,258.0,419.0,178.0,333.0,581.0,330.0,271.0,263.0,264.0,89.0,90.0,377.0,516.0,602.0,542.0,691.0,773.0,843.0,751.0,369.0,429.0,294.0,270.0,512.0,364.0,126.0,174.0,540.0
833,Indiana,Starke County,263.0,144.0,159.0,391.0,636.0,671.0,659.0,679.0,797.0,858.0,859.0,346.0,524.0,328.0,383.0,517.0,392.0,238.0,185.0,247.0,82.0,241.0,361.0,636.0,596.0,597.0,785.0,714.0,896.0,924.0,351.0,434.0,304.0,406.0,419.0,397.0,172.0,145.0,510.0
834,Indiana,Steuben County,504.0,276.0,148.0,619.0,833.0,848.0,1009.0,955.0,1135.0,1292.0,1396.0,435.0,704.0,389.0,563.0,851.0,594.0,360.0,387.0,726.0,387.0,332.0,734.0,934.0,875.0,841.0,1166.0,1157.0,1240.0,1259.0,558.0,757.0,494.0,539.0,741.0,457.0,354.0,171.0,1230.0
835,Indiana,Sullivan County,207.0,158.0,90.0,281.0,541.0,544.0,639.0,561.0,623.0,725.0,798.0,178.0,378.0,195.0,322.0,494.0,316.0,240.0,306.0,235.0,136.0,187.0,452.0,849.0,841.0,733.0,909.0,853.0,869.0,895.0,292.0,271.0,268.0,336.0,390.0,311.0,113.0,139.0,442.0
836,Indiana,Switzerland County,85.0,18.0,82.0,198.0,265.0,300.0,342.0,257.0,371.0,391.0,310.0,174.0,163.0,122.0,159.0,233.0,194.0,76.0,117.0,117.0,13.0,50.0,236.0,264.0,305.0,332.0,329.0,404.0,389.0,425.0,119.0,153.0,139.0,137.0,256.0,143.0,68.0,133.0,202.0
837,Indiana,Tippecanoe County,5033.0,4031.0,3803.0,6777.0,6786.0,5564.0,4819.0,4749.0,4506.0,4879.0,4697.0,2205.0,2279.0,1591.0,1960.0,2203.0,1694.0,1389.0,1905.0,6174.0,4153.0,4577.0,10166.0,7570.0,6074.0,5040.0,4880.0,4594.0,4690.0,4153.0,1884.0,2536.0,1100.0,1594.0,2143.0,1371.0,1020.0,819.0,11207.0
838,Indiana,Tipton County,162.0,39.0,37.0,300.0,346.0,360.0,627.0,318.0,561.0,622.0,617.0,229.0,295.0,136.0,357.0,413.0,204.0,218.0,347.0,178.0,77.0,117.0,265.0,401.0,377.0,472.0,401.0,548.0,624.0,612.0,170.0,360.0,180.0,287.0,339.0,195.0,151.0,159.0,340.0
839,Indiana,Union County,112.0,25.0,95.0,36.0,179.0,194.0,226.0,229.0,294.0,285.0,276.0,61.0,173.0,81.0,101.0,228.0,154.0,90.0,50.0,95.0,42.0,33.0,155.0,176.0,176.0,204.0,202.0,257.0,282.0,240.0,67.0,196.0,82.0,124.0,154.0,71.0,58.0,64.0,207.0
840,Indiana,Vanderburgh County,2851.0,1675.0,1736.0,3970.0,6832.0,6109.0,4967.0,5421.0,5496.0,6570.0,6587.0,2512.0,3396.0,2157.0,2775.0,3150.0,2705.0,2149.0,3273.0,2458.0,1376.0,1625.0,3724.0,6711.0,6077.0,5258.0,5084.0,5316.0,6413.0,6123.0,2505.0,3331.0,1727.0,2372.0,2588.0,2172.0,1251.0,1463.0,5309.0
841,Indiana,Vermillion County,146.0,86.0,38.0,326.0,393.0,426.0,459.0,524.0,534.0,591.0,623.0,232.0,331.0,241.0,258.0,365.0,351.0,178.0,263.0,175.0,172.0,18.0,244.0,407.0,407.0,503.0,466.0,529.0,549.0,502.0,290.0,321.0,189.0,283.0,358.0,272.0,94.0,91.0,321.0
842,Indiana,Vigo County,2122.0,1410.0,1350.0,3043.0,3036.0,2980.0,2973.0,2959.0,3117.0,3402.0,3734.0,1220.0,1848.0,1420.0,1352.0,2004.0,1487.0,1118.0,1790.0,2510.0,1451.0,1509.0,3053.0,3906.0,3746.0,3554.0,3378.0,3385.0,3598.0,3591.0,1168.0,1730.0,1095.0,1395.0,1686.0,1010.0,807.0,677.0,4632.0
843,Indiana,Wabash County,494.0,310.0,314.0,436.0,837.0,820.0,866.0,948.0,987.0,1148.0,1236.0,510.0,519.0,512.0,582.0,587.0,580.0,601.0,709.0,571.0,236.0,254.0,633.0,843.0,852.0,824.0,976.0,1010.0,1147.0,1121.0,524.0,555.0,433.0,383.0,715.0,453.0,399.0,294.0,1065.0
844,Indiana,Warren County,77.0,50.0,35.0,128.0,189.0,264.0,205.0,258.0,300.0,311.0,309.0,118.0,176.0,91.0,160.0,209.0,162.0,142.0,108.0,92.0,30.0,60.0,129.0,206.0,194.0,243.0,247.0,329.0,348.0,307.0,112.0,193.0,75.0,135.0,214.0,137.0,122.0,49.0,169.0
845,Indiana,Warrick County,662.0,289.0,251.0,985.0,1547.0,1759.0,1915.0,2089.0,2115.0,2389.0,2410.0,702.0,1262.0,795.0,1000.0,1297.0,896.0,725.0,719.0,729.0,271.0,451.0,833.0,1550.0,1844.0,2027.0,1929.0,2100.0,2206.0,2169.0,800.0,1162.0,802.0,972.0,1103.0,835.0,469.0,259.0,1391.0
846,Indiana,Washington County,285.0,211.0,241.0,311.0,748.0,759.0,627.0,1083.0,974.0,1098.0,1083.0,452.0,467.0,304.0,500.0,567.0,363.0,287.0,338.0,390.0,220.0,125.0,449.0,777.0,772.0,892.0,904.0,989.0,1119.0,1018.0,383.0,523.0,342.0,316.0,550.0,333.0,216.0,182.0,675.0
847,Indiana,Wayne County,948.0,472.0,460.0,1158.0,1923.0,1875.0,2106.0,1883.0,2318.0,2465.0,2412.0,866.0,1480.0,836.0,1184.0,1604.0,1444.0,934.0,1081.0,982.0,516.0,413.0,1283.0,1862.0,1936.0,1923.0,2024.0,2207.0,2367.0,2457.0,676.0,1336.0,710.0,947.0,1259.0,804.0,567.0,718.0,1930.0
848,Indiana,Wells County,297.0,93.0,131.0,538.0,752.0,800.0,815.0,730.0,850.0,1056.0,1102.0,467.0,393.0,374.0,471.0,529.0,419.0,364.0,580.0,396.0,198.0,200.0,413.0,788.0,776.0,776.0,777.0,849.0,1029.0,1043.0,392.0,506.0,242.0,573.0,448.0,364.0,174.0,296.0,693.0
849,Indiana,White County,240.0,103.0,127.0,405.0,618.0,651.0,671.0,677.0,749.0,894.0,959.0,401.0,486.0,355.0,398.0,549.0,438.0,296.0,458.0,283.0,143.0,144.0,399.0,633.0,618.0,676.0,786.0,769.0,855.0,886.0,454.0,460.0,333.0,386.0,467.0,401.0,224.0,201.0,523.0
850,Indiana,Whitley County,352.0,196.0,242.0,464.0,861.0,901.0,999.0,971.0,1110.0,1314.0,1323.0,408.0,751.0,435.0,542.0,646.0,413.0,385.0,605.0,408.0,191.0,204.0,571.0,997.0,963.0,948.0,1149.0,1094.0,1254.0,1418.0,447.0,609.0,543.0,368.0,598.0,513.0,211.0,156.0,760.0
